Rank;Final Worth;Person Name;Age;Country;City;Source;Industries;Country Of Citizenship;Organization;Self Made;Status;Gender;Birth Date;Last Name;First Name; Title;Date;Birth Year;Birth Month;Birth Day;CPI Country;CPI Change Country;GDP Country;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
624;4400;Peter Grogg;81;Switzerland;Liestal;Biochemicals;Healthcare;Switzerland;;TRUE;D;M;01/10/1942 00:00;Grogg;Peter;;04/04/2023 05:01;1942;1;10;99.55;0.4;$703,082,435,360 ;59.6;105.2;83.6;10.1;28.8;8574832;46.818.188;8.227.512
624;4400;Christian Haub;58;Germany;Munich;Retail;Fashion & Retail;Germany;;FALSE;E;M;7/22/1964 0:00;Haub;Christian;;04/04/2023 05:01;1964;7;22;112.85;1.4;$3,845,630,030,824 ;70.2;104;80.9;11.5;48.8;83132799;51.165.691;10.451.526
624;4400;Mangal Prabhat Lodha;67;India;Mumbai;Real estate;Real Estate;India;;TRUE;D;M;12/01/1955 00:00;Lodha;Mangal Prabhat;;04/04/2023 05:01;1955;12;1;180.44;7.7;$2,611,000,000,000 ;28.1;113;69.4;11.2;49.7;1366417754;20.593.684;7.896.288
624;4400;Jeffrey Lurie & family;71;United States;Wynnewood;Philadelphia Eagles;Sports;United States;;FALSE;U;M;09/08/1951 00:00;Lurie;Jeffrey;;04/04/2023 05:01;1951;9;8;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
624;4400;Joe Mansueto;66;United States;Chicago;Investment research;Finance & Investments;United States;Morningstar Inc.;TRUE;D;M;09/03/1956 00:00;Mansueto;Joe;Entrepreneur, Investor;04/04/2023 05:01;1956;9;3;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
624;4400;Qian Dongqi & family;65;China;Suzhou;Home-cleaning robots;Manufacturing;China;;TRUE;D;M;01/01/1958 00:00;Qian;Dongqi;;04/04/2023 05:01;1958;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
624;4400;Mikhail Shelkov;54;Russia;Moscow;Titanium;Metals & Mining;Russia;;TRUE;U;M;5/30/1968 0:00;Shelkov;Mikhail;;04/04/2023 05:01;1968;5;30;180.75;4.5;$1,699,876,578,871 ;81.9;102.6;72.7;11.4;46.2;144373535;6.152.401;105.318.756
636;4300;Patrick Drahi;59;Switzerland;Zermatt;Telecom;Telecom;France;;TRUE;D;M;8/20/1963 0:00;Drahi;Patrick;;04/04/2023 05:01;1963;8;20;99.55;0.4;$703,082,435,360 ;59.6;105.2;83.6;10.1;28.8;8574832;46.818.188;8.227.512
636;4300;Behdad Eghbali;46;United States;Los Angeles;Private equity;Finance & Investments;United States;;TRUE;U;M;05/06/1976 00:00;Eghbali;Behdad;;04/04/2023 05:01;1976;5;6;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Juan Carlos Escotet;63;Spain;A Coruña;Banking;Finance & Investments;Venezuela;;TRUE;U;M;7/23/1959 0:00;Escotet;Juan Carlos;;04/04/2023 05:01;1959;7;23;110.96;0.7;$1,394,116,310,769 ;88.9;102.7;83.3;14.2;47;47076781;40.463.667;-374.922
636;4300;Jose E. Feliciano;49;United States;Los Angeles;Private equity;Finance & Investments;United States;;TRUE;U;M;5/29/1973 0:00;Feliciano;Jose E.;;04/04/2023 05:01;1973;5;29;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Hu Kaijun;61;China;Beijing;Pharmaceuticals;Healthcare;China;;TRUE;U;M;01/01/1962 00:00;Hu;Kaijun;;04/04/2023 05:01;1962;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
636;4300;Johnelle Hunt;91;United States;Fayetteville;Trucking;Logistics;United States;;TRUE;D;F;01/04/1932 00:00;Hunt;Johnelle;;04/04/2023 05:01;1932;1;4;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Marian Ilitch;90;United States;Bingham Farms;Little Caesars Pizza;Food & Beverage;United States;;TRUE;D;F;01/07/1933 00:00;Ilitch;Marian;;04/04/2023 05:01;1933;1;7;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Daryl Katz;61;Canada;Edmonton;Pharmacies;Diversified;Canada;Katz Group;TRUE;D;M;09/01/1961 00:00;Katz;Daryl;Founder and Chairman;04/04/2023 05:01;1961;9;1;116.76;1.9;$1,736,425,629,520 ;68.9;100.9;81.9;12.8;24.5;36991981;56.130.366;-106.346.771
636;4300;Andrei Kozitsyn;62;Russia;Verkhniaya Pyshma;Metals;Metals & Mining;Russia;;TRUE;U;M;06/09/1960 00:00;Kozitsyn;Andrei;;04/04/2023 05:01;1960;6;9;180.75;4.5;$1,699,876,578,871 ;81.9;102.6;72.7;11.4;46.2;144373535;6.152.401;105.318.756
636;4300;Timur Kulibaev;56;Kazakhstan;Almaty;Banking;Finance & Investments;Kazakhstan;;TRUE;U;M;09/10/1966 00:00;Kulibaev;Timur;;04/04/2023 05:01;1966;9;10;182.75;5.2;$180,161,741,180 ;61.7;104.4;73.2;11.7;28.4;18513930;48.019.573;66.923.684
636;4300;Dinara Kulibaeva;55;Kazakhstan;Almaty;Banking;Finance & Investments;Kazakhstan;;FALSE;U;F;8/19/1967 0:00;Kulibaeva;Dinara;;04/04/2023 05:01;1967;8;19;182.75;5.2;$180,161,741,180 ;61.7;104.4;73.2;11.7;28.4;18513930;48.019.573;66.923.684
636;4300;Ian Livingstone;60;;;Real estate;Real Estate;United Kingdom;;TRUE;Split Family Fortune;M;5/22/1962 0:00;Livingstone;Ian;;04/04/2023 05:01;1962;5;22;;;;;;;;;;;
636;4300;Richard Livingstone;58;;;Real estate;Real Estate;United Kingdom;;TRUE;Split Family Fortune;M;11/29/1964 0:00;Livingstone;Richard;;04/04/2023 05:01;1964;11;29;;;;;;;;;;;
636;4300;Gwendolyn Sontheim Meyer;61;United States;Rancho Santa Fe;Cargill;Food & Beverage;United States;;FALSE;D;F;10/27/1961 0:00;Meyer;Gwendolyn Sontheim;;04/04/2023 05:01;1961;10;27;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Jay Paul;75;United States;San Francisco;Real estate;Real Estate;United States;;TRUE;U;M;07/08/1947 00:00;Paul;Jay;;04/04/2023 05:01;1947;7;8;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Pham Nhat Vuong;54;Vietnam;Hanoi;Diversified;Diversified;Vietnam;;TRUE;D;M;08/05/1968 00:00;Pham;Nhat Vuong;;04/04/2023 05:01;1968;8;5;163.52;2.8;$261,921,244,843 ;28.5;110.6;75.3;19.1;37.6;96462106;14.058.324;108.277.199
636;4300;Jon Stryker;64;United States;New York;Medical equipment;Healthcare;United States;;FALSE;U;M;05/03/1958 00:00;Stryker;Jon;;04/04/2023 05:01;1958;5;3;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
636;4300;Daniel Tsai;66;Taiwan;Taipei;Finance;Finance & Investments;Taiwan;;FALSE;D;M;4/25/1956 0:00;Tsai;Daniel;;04/04/2023 05:01;1956;4;25;;;;;;;;;;;
636;4300;Richard Tsai;65;Taiwan;Taipei;Finance;Finance & Investments;Taiwan;;FALSE;D;M;06/02/1957 00:00;Tsai;Richard;;04/04/2023 05:01;1957;6;2;;;;;;;;;;;
636;4300;Frank Wang;42;China;Shenzhen;Drones;Technology;China;DJI Technology Co.;TRUE;D;M;10/30/1980 0:00;Wang;Frank;Founder and CEO;04/04/2023 05:01;1980;10;30;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
636;4300;Wang Junshi & family;74;China;Ningbo;Solar inverters;Manufacturing;China;;TRUE;D;M;01/01/1949 00:00;Wang;Junshi;;04/04/2023 05:01;1949;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
636;4300;Wang Wenjing;58;China;Beijing;Business software;Technology;China;;TRUE;D;M;12/05/1964 00:00;Wang;Wenjing;;04/04/2023 05:01;1964;12;5;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
636;4300;Herbert Wertheim;83;United States;Coral Gables;Investments;Finance & Investments;United States;;TRUE;U;M;5/23/1939 0:00;Wertheim;Herbert;;04/04/2023 05:01;1939;5;23;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Shari Arison;65;Israel;Tel Aviv;Carnival Cruises;Service;Israel;;FALSE;D;F;09/09/1957 00:00;Arison;Shari;Investor, Philanthropist;04/04/2023 05:01;1957;9;9;108.15;0.8;$395,098,666,122 ;63.4;104.9;82.8;23.1;25.3;9053300;31.046.051;34.851.612
659;4200;Pyotr Aven;68;Latvia;;Oil, banking, telecom;Finance & Investments;Russia;;TRUE;D;M;3/16/1955 0:00;Aven;Pyotr;;04/04/2023 05:01;1955;3;16;116.86;2.8;$34,117,202,555 ;88.1;99.4;74.7;22.9;38.1;1912789;56.879.635;24.603.189
659;4200;Chan Laiwa & family;82;China;Beijing;Real estate;Real Estate;China;;TRUE;D;F;01/01/1941 00:00;Chan;Laiwa;Philanthropist;04/04/2023 05:01;1941;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
659;4200;Chen Hua;57;China;Shenzhen;Real estate;Real Estate;China;;TRUE;U;M;01/01/1966 00:00;Chen;Hua;;04/04/2023 05:01;1966;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
659;4200;Thomas Hagen;87;United States;Erie;Insurance;Finance & Investments;United States;;FALSE;U;M;01/01/1936 00:00;Hagen;Thomas;;04/04/2023 05:01;1936;1;1;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Rupert Johnson, Jr.;82;United States;Burlingame;Franklin Templeton;Finance & Investments;United States;Franklin Resources Inc.;FALSE;D;M;08/10/1940 00:00;Johnson;Rupert;Vice Chairman and Director;04/04/2023 05:01;1940;8;10;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Dewi Kam;72;Indonesia;Jakarta;Coal;Energy;Indonesia;;TRUE;N;F;7/23/1950 0:00;Kam;Dewi;;04/04/2023 05:01;1950;7;23;151.18;3;$1,119,190,780,753 ;36.3;106.4;71.5;10.2;30.1;270203917;-0.789275;113.921.327
659;4200;Min Kao & family;74;United States;Leawood;Navigation equipment;Technology;United States;;TRUE;D;M;01/10/1949 00:00;Kao;Min;;04/04/2023 05:01;1949;1;10;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Marc Ladreit de Lacharriere;82;France;Paris;Finance;Finance & Investments;France;;TRUE;U;M;11/06/1940 00:00;Ladreit de Lacharriere;Marc;;04/04/2023 05:01;1940;11;6;110.05;1.1;$2,715,518,274,227 ;65.6;102.5;82.5;24.2;60.7;67059887;46.227.638;2.213.749
659;4200;Eric Lefkofsky;53;United States;Glencoe;Groupon, investments;Technology;United States;Groupon;TRUE;U;M;09/02/1969 00:00;Lefkofsky;Eric;Chairman;04/04/2023 05:01;1969;9;2;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Lin Bin;55;China;Shenzhen;Smartphones;Technology;United States;;TRUE;D;M;02/01/1968 00:00;Lin;Bin;;04/04/2023 05:01;1968;2;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
659;4200;Lin Li;59;China;Shenzhen;Investments;Finance & Investments;China;;TRUE;D;M;05/01/1963 00:00;Lin;Li;;04/04/2023 05:01;1963;5;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
659;4200;Michael Moritz;68;United States;San Francisco;Venture capital;Technology;United States;Sequoia;TRUE;D;M;09/12/1954 00:00;Moritz;Michael;Investor;04/04/2023 05:01;1954;9;12;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Jean (Gigi) Pritzker;60;United States;Los Angeles;Hotels, investments;Service;United States;;FALSE;U;F;07/01/1962 00:00;Pritzker;Jean (Gigi);;04/04/2023 05:01;1962;7;1;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;E. Joe Shoen;73;United States;Phoenix;U-Haul;Automotive;United States;;FALSE;U;M;10/28/1949 0:00;Shoen;E. Joe;;04/04/2023 05:01;1949;10;28;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Jeff Skoll;58;United States;Los Angeles;EBay;Technology;United States;;TRUE;D;M;1/16/1965 0:00;Skoll;Jeff;;04/04/2023 05:01;1965;1;16;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Lynsi Snyder;40;United States;Glendora;In-N-Out Burger;Food & Beverage;United States;;FALSE;E;F;05/05/1982 00:00;Snyder;Lynsi;;04/04/2023 05:01;1982;5;5;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
659;4200;Djoko Susanto;73;Indonesia;Jakarta;Supermarkets;Fashion & Retail;Indonesia;;TRUE;U;M;02/09/1950 00:00;Susanto;Djoko;;04/04/2023 05:01;1950;2;9;151.18;3;$1,119,190,780,753 ;36.3;106.4;71.5;10.2;30.1;270203917;-0.789275;113.921.327
659;4200;Tahir & family;71;Indonesia;Jakarta;Diversified;Diversified;Indonesia;;TRUE;U;M;3/26/1952 0:00;Tahir;;;04/04/2023 05:01;1952;3;26;151.18;3;$1,119,190,780,753 ;36.3;106.4;71.5;10.2;30.1;270203917;-0.789275;113.921.327
659;4200;Peter Thiel;55;United States;Los Angeles;Facebook, investments;Finance & Investments;United States;Founders Fund;TRUE;D;M;10/11/1967 00:00;Thiel;Peter;Investor;04/04/2023 05:01;1967;10;11;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Andrej Babis;68;Czech Republic;Prague;Agriculture;Food & Beverage;Czech Republic;;TRUE;D;M;09/02/1954 00:00;Babis;Andrej;;04/04/2023 05:01;1954;9;2;116.48;2.8;$246,489,245,495 ;64.1;100.7;79;14.9;46.1;10669709;49.817.492;15.472.962
679;4100;Danielle Bellon & family;83;France;Paris;Food services;Service;France;;FALSE;U;F;02/08/1940 00:00;Bellon;Danielle;;04/04/2023 05:01;1940;2;8;110.05;1.1;$2,715,518,274,227 ;65.6;102.5;82.5;24.2;60.7;67059887;46.227.638;2.213.749
679;4100;Hubert Burda;83;Germany;Munich;Publishing;Media & Entertainment;Germany;;FALSE;U;M;02/09/1940 00:00;Burda;Hubert;;04/04/2023 05:01;1940;2;9;112.85;1.4;$3,845,630,030,824 ;70.2;104;80.9;11.5;48.8;83132799;51.165.691;10.451.526
679;4100;Nick Caporella;87;United States;Plantation;Beverages;Food & Beverage;United States;;TRUE;U;M;1/15/1936 0:00;Caporella;Nick;;04/04/2023 05:01;1936;1;15;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;John Catsimatidis;74;United States;New York;Oil, real estate;Energy;United States;;TRUE;U;M;09/07/1948 00:00;Catsimatidis;John;;04/04/2023 05:01;1948;9;7;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Scott Cook;70;United States;Woodside;Software;Technology;United States;;TRUE;D;M;7/26/1952 0:00;Cook;Scott;;04/04/2023 05:01;1952;7;26;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Luca Garavoglia;54;Italy;Milan;Spirits;Food & Beverage;Italy;;FALSE;U;M;2/27/1969 0:00;Garavoglia;Luca;;04/04/2023 05:01;1969;2;27;110.62;0.6;$2,001,244,392,042 ;61.9;101.9;82.9;24.3;59.1;60297396;4.187.194;1.256.738
679;4100;Antti Herlin;66;Finland;Kirkkonummi;Elevators, escalators;Manufacturing;Finland;;FALSE;D;M;11/14/1956 0:00;Herlin;Antti;;04/04/2023 05:01;1956;11;14;112.33;1;$268,761,201,365 ;88.2;100.2;81.7;20.8;36.6;5520314;6.192.411;25.748.151
679;4100;Hong Jie;55;China;Putian;Paint;Manufacturing;China;;TRUE;U;M;10/01/1967 00:00;Hong;Jie;;04/04/2023 05:01;1967;10;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
679;4100;Jeremy Jacobs, Sr. & family;83;United States;East Aurora;Food service;Service;United States;;FALSE;U;M;1/21/1940 0:00;Jacobs;Jeremy;;04/04/2023 05:01;1940;1;21;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Igor Kesaev;56;Russia;Moscow;Tobacco distribution, retail;Fashion & Retail;Russia;;TRUE;U;M;10/30/1966 0:00;Kesaev;Igor;;04/04/2023 05:01;1966;10;30;180.75;4.5;$1,699,876,578,871 ;81.9;102.6;72.7;11.4;46.2;144373535;6.152.401;105.318.756
679;4100;Mary Alice Dorrance Malone;73;United States;Coatesville;Campbell Soup;Food & Beverage;United States;;FALSE;U;F;02/03/1950 00:00;Malone;Mary Alice Dorrance;;04/04/2023 05:01;1950;2;3;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Joao Moreira Salles;61;Brazil;Rio de Janeiro;Banking, minerals;Diversified;Brazil;;FALSE;U;M;01/01/1962 00:00;Moreira Salles;Joao;;04/04/2023 05:01;1962;1;1;167.4;3.7;$1,839,758,040,766 ;51.3;115.4;75.7;14.2;65.1;212559417;-14.235.004;-5.192.528
679;4100;Walther Moreira Salles Junior;66;Brazil;Rio de Janeiro;Banking, minerals;Finance & Investments;Brazil;;FALSE;U;M;04/12/1956 00:00;Moreira Salles Junior;Walther;;04/04/2023 05:01;1956;4;12;167.4;3.7;$1,839,758,040,766 ;51.3;115.4;75.7;14.2;65.1;212559417;-14.235.004;-5.192.528
679;4100;Arturo Moreno;76;United States;Phoenix;Billboards, Los Angeles Angels;Sports;United States;;TRUE;U;M;8/14/1946 0:00;Moreno;Arturo;;04/04/2023 05:01;1946;8;14;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Peter Spuhler;63;Switzerland;Weiningen;Train cars;Manufacturing;Switzerland;;TRUE;D;M;09/01/1959 00:00;Spuhler;Peter;;04/04/2023 05:01;1959;9;1;99.55;0.4;$703,082,435,360 ;59.6;105.2;83.6;10.1;28.8;8574832;46.818.188;8.227.512
679;4100;Donald Sterling;88;United States;Beverly Hills;Real estate;Real Estate;United States;;TRUE;U;M;4/26/1934 0:00;Sterling;Donald;;04/04/2023 05:01;1934;4;26;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Kerry Stokes;82;Australia;Perth;Construction equipment, media;Diversified;Australia;;TRUE;D;M;9/13/1940 0:00;Stokes;Kerry;;04/04/2023 05:01;1940;9;13;119.8;1.6;$1,392,680,589,329 ;113.1;100.3;82.7;23;47.4;25766605;-25.274.398;133.775.136
679;4100;Ken Xie;60;United States;Los Altos Hills;Cybersecurity;Technology;United States;;TRUE;D;M;1/26/1963 0:00;Xie;Ken;;04/04/2023 05:01;1963;1;26;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
679;4100;Liangzhi Xie & family;57;China;Beijing;Biotech;Healthcare;China;;TRUE;D;M;01/01/1966 00:00;Xie;Liangzhi;;04/04/2023 05:01;1966;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
699;4000;Sid Bass;80;United States;Fort Worth;Oil, investments;Energy;United States;;FALSE;U;M;04/09/1942 00:00;Bass;Sid;;04/04/2023 05:01;1942;4;9;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Ben Chestnut;48;United States;Atlanta;Email marketing;Technology;United States;;TRUE;D;M;6/15/1974 0:00;Chestnut;Ben;;04/04/2023 05:01;1974;6;15;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Elisabeth DeLuca & family;75;United States;;Subway;Food & Beverage;United States;;FALSE;N;F;7/25/1947 0:00;DeLuca;Elisabeth;;04/04/2023 05:01;1947;7;25;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Guangchang Guo;56;China;Shanghai;Conglomerate;Diversified;China;;TRUE;D;M;2/16/1967 0:00;Guo;Guangchang;;04/04/2023 05:01;1967;2;16;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
699;4000;Vinod Rai Gupta;77;India;Delhi;Electrical equipment;Manufacturing;India;;FALSE;U;F;9/15/1945 0:00;Gupta;Vinod Rai;;04/04/2023 05:01;1945;9;15;180.44;7.7;$2,611,000,000,000 ;28.1;113;69.4;11.2;49.7;1366417754;20.593.684;7.896.288
699;4000;John Henry;73;United States;Boca Raton;Sports;Sports;United States;;TRUE;U;M;9/13/1949 0:00;Henry;John;;04/04/2023 05:01;1949;9;13;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Travis Kalanick;46;United States;Los Angeles;Uber;Technology;United States;Uber Technologies Inc.;TRUE;U;M;08/06/1976 00:00;Kalanick;Travis;Cofounder;04/04/2023 05:01;1976;8;6;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Koon Poh Keong;61;Malaysia;Petaling Jaya;Aluminum;Manufacturing;Malaysia;;TRUE;D;M;4/25/1961 0:00;Koon;Poh Keong;;04/04/2023 05:01;1961;4;25;121.46;0.7;$364,701,517,788 ;45.1;105.3;76;12;38.7;32447385;4.210.484;101.975.766
699;4000;Dan Kurzius;51;United States;Atlanta;Email marketing;Technology;United States;;TRUE;D;M;12/01/1971 00:00;Kurzius;Dan;;04/04/2023 05:01;1971;12;1;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Paul Lee;65;China;Yuxi;Battery separators;Manufacturing;United States;;TRUE;D;M;01/01/1958 00:00;Lee;Paul;;04/04/2023 05:01;1958;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
699;4000;Tobi Lutke;42;Canada;Ottawa;E-commerce;Technology;Canada;;TRUE;D;M;7/16/1980 0:00;Lutke;Tobi;;04/04/2023 05:01;1980;7;16;116.76;1.9;$1,736,425,629,520 ;68.9;100.9;81.9;12.8;24.5;36991981;56.130.366;-106.346.771
699;4000;Gail Miller;79;United States;Salt Lake City;Car dealerships;Automotive;United States;;TRUE;U;F;10/14/1943 0:00;Miller;Gail;;04/04/2023 05:01;1943;10;14;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Rajan Mittal;63;India;Delhi;Telecom;Telecom;India;;FALSE;Split Family Fortune;M;01/05/1960 00:00;Mittal;Rajan;;04/04/2023 05:01;1960;1;5;180.44;7.7;$2,611,000,000,000 ;28.1;113;69.4;11.2;49.7;1366417754;20.593.684;7.896.288
699;4000;Rakesh Mittal;67;India;Delhi;Telecom;Telecom;India;;FALSE;Split Family Fortune;M;9/18/1955 0:00;Mittal;Rakesh;;04/04/2023 05:01;1955;9;18;180.44;7.7;$2,611,000,000,000 ;28.1;113;69.4;11.2;49.7;1366417754;20.593.684;7.896.288
699;4000;Isaac Perlmutter;80;United States;Palm Beach;Marvel comics;Media & Entertainment;United States;Marvel Entertainment;TRUE;D;M;12/01/1942 00:00;Perlmutter;Isaac;Chairman;04/04/2023 05:01;1942;12;1;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Bernard Saul, II.;90;United States;Chevy Chase;Banking, real estate;Finance & Investments;United States;Saul Centers;FALSE;U;M;4/15/1932 0:00;Saul;Bernard;Chairman and CEO;04/04/2023 05:01;1932;4;15;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Shaul Shani;68;Italy;Milan;Telecom;Telecom;Israel;;TRUE;D;M;01/01/1955 00:00;Shani;Shaul;;04/04/2023 05:01;1955;1;1;110.62;0.6;$2,001,244,392,042 ;61.9;101.9;82.9;24.3;59.1;60297396;4.187.194;1.256.738
699;4000;Steven Spielberg;76;United States;Pacific Palisades;Movies;Media & Entertainment;United States;;TRUE;U;M;12/18/1946 0:00;Spielberg;Steven;;04/04/2023 05:01;1946;12;18;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
699;4000;Jerzy Starak;75;Poland;Konstancin;Pharmaceuticals;Healthcare;Poland;;TRUE;E;M;12/12/1947 00:00;Starak;Jerzy;;04/04/2023 05:01;1947;12;12;114.11;2.2;$592,164,400,688 ;67.8;100;77.6;17.4;40.8;37970874;51.919.438;19.145.136
699;4000;Torbjorn Tornqvist;69;Switzerland;Geneva;Oil trading;Energy;Sweden;;TRUE;U;M;11/08/1953 00:00;Tornqvist;Torbjorn;;04/04/2023 05:01;1953;11;8;99.55;0.4;$703,082,435,360 ;59.6;105.2;83.6;10.1;28.8;8574832;46.818.188;8.227.512
699;4000;Rufino Vigil Gonzalez;74;Mexico;Mexico City;Steel;Metals & Mining;Mexico;;TRUE;U;M;06/01/1948 00:00;Vigil Gonzalez;Rufino;;04/04/2023 05:01;1948;6;1;141.54;3.6;$1,258,286,717,125 ;40.2;105.8;75;13.1;55.1;126014024;23.634.501;-102.552.784
699;4000;Zhang Daocai;73;China;Shaoxing;Valves;Diversified;China;;TRUE;U;M;01/01/1950 00:00;Zhang;Daocai;;04/04/2023 05:01;1950;1;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
